Group,First Date,Last Date,Txs,No. Contracts,No. Chains,Contracts List,Chains List,Overall,Count,First Date Spread Variance,Last Date Spread Variance,First Date Clustering Score,Last Date Clustering Score
HD,7.593478588,10.74425545,0.207050093,0,0.099584951,0,0.09910149,0.120490549,110,0.17970879,0.141276065,0.147633794,0.138930923
J,7.653477718,23.24298549,0.267477204,0,0.074829932,0,0.129355406,0.145221433,49,0.120414848,0.13868455,0.083303495,0.15022156
KJ,7.708,20.265,0.140782123,0,0.033333333,0,0.042358359,0.065125584,20,0.077203758,0.082731784,0.063826632,0.078311142
FB,7.79235885,113.5098645,0.373900293,0,0.101263895,0,0.095807469,0.169106538,33,0.09971122,0.251511506,0.068358886,0.28198447
BB,8.114267664,0.303555564,0.105510316,0,0.088187063,0,0.091292997,0.085116729,37,0.107740284,0.013772223,0.079258784,0.011127869
BE,8.134326747,2.144692798,0.111498258,0,0.082638503,0,0.075598876,0.079576179,21,0.08126865,0.027578858,0.070751144,0.035872965
JP,8.280901322,13.28123504,0.233609309,0,0.08082537,0,0.070864957,0.113389064,41,0.114573274,0.095894841,0.079689618,0.097522356
JO,8.360812033,11.24163722,0.085226617,0,0.07514013,0,0.064734011,0.066055851,46,0.12194268,0.093449673,0.108540786,0.113231707
BT,8.385919922,1.575529297,0.099328679,0,0.046857411,0,0.043889788,0.056201438,80,0.161054528,0.046136253,0.13110636,0.046708512
FR,8.425522674,17.14984305,0.289360378,0,0.081559436,0,0.071587446,0.130277254,74,0.155262608,0.146396273,0.14479079,0.132122866
IV,8.444014213,5.09525328,0.273109244,0,0.033613445,0,0.041074512,0.103645913,28,0.095610609,0.049084683,0.093185641,0.050345752
EO,8.583532372,46.90348409,0.173999011,0,0.024566566,0,0.058775394,0.079701396,49,0.127521571,0.19700837,0.097134388,0.166562437
JZ,8.627458333,24.75322222,0.19197787,0,0.048392555,0,0.062785698,0.091361369,60,0.141471725,0.158370972,0.115785568,0.180059289
DT,8.884025377,28.0515592,0.233778977,0,0.101169251,0,0.094145252,0.12681545,31,0.103190171,0.121183484,0.087379301,0.130933833
EN,8.947627315,285.375,0.195652174,0,0.062913907,0,0.093229925,0.108342846,24,0.091119673,0.340092981,0.065182427,0.452589576
AX,9.028015026,3.622323065,0.182158029,0,0.055502392,0,0.065809081,0.091033286,55,0.13855751,0.058004144,0.122476773,0.066288131
CT,9.089442306,2.317920207,0.248704532,0,0.041098828,0,0.046423749,0.100078303,112,0.19839477,0.066212859,0.175305178,0.078596071
W,9.247612847,17.73148148,0.185958632,0,0.102638353,0,0.088443973,0.110734622,24,0.092634557,0.084773911,0.07700517,0.110878186
